ablation,modalities,n_modalities,test/underpricing_mae,test/underpricing_loss,test/broken_ipo_loss,test/volatility_loss,test/total_loss,horizon_months,sample,n_train,n_test
naive_mean,none,0,0.3767332136631012,,,,,3,multimodal,108,161
tabular_only,tabular,1,0.3302280008792877,0.1714809089899063,0.6992418169975281,0.6938505172729492,0.1714809089899063,3,multimodal,108,161
text_only,text,1,0.3475949168205261,0.19072213768959045,0.7889302968978882,1.7849950790405273,0.19072213768959045,3,multimodal,108,161
image_only,image,1,0.29337647557258606,0.14306753873825073,0.609341025352478,1.5130201578140259,0.14306753873825073,3,multimodal,108,161
text_tabular,"text,tabular",2,0.33703306317329407,0.17681226134300232,0.8277737498283386,0.7659721970558167,0.17681226134300232,3,multimodal,108,161
full_multimodal,"image,text,tabular",3,0.3486279845237732,0.18734709918498993,0.6288428902626038,1.1962305307388306,0.18734709918498993,3,multimodal,108,161
naive_mean,none,0,0.45898234844207764,,,,,6,multimodal,107,161
tabular_only,tabular,1,0.4307316243648529,0.30598706007003784,0.7216867804527283,0.9048402309417725,0.30598706007003784,6,multimodal,107,161
text_only,text,1,0.4386361539363861,0.31670039892196655,0.6840453743934631,1.4688528776168823,0.31670039892196655,6,multimodal,107,161
image_only,image,1,0.4667828381061554,0.3445833921432495,0.7362110614776611,1.3293566703796387,0.3445833921432495,6,multimodal,107,161
text_tabular,"text,tabular",2,0.43643829226493835,0.3142356872558594,0.745265007019043,0.8940569758415222,0.3142356872558594,6,multimodal,107,161
full_multimodal,"image,text,tabular",3,0.4430693984031677,0.32164353132247925,0.6306682825088501,2.0992515087127686,0.32164353132247925,6,multimodal,107,161
naive_mean,none,0,0.660832405090332,,,,,12,multimodal,105,160
tabular_only,tabular,1,0.5909988284111023,0.5346768498420715,0.6438119411468506,1.1803765296936035,0.5346768498420715,12,multimodal,105,160
text_only,text,1,0.5293372869491577,0.47119149565696716,0.6842955946922302,0.74560546875,0.47119149565696716,12,multimodal,105,160
image_only,image,1,0.5484633445739746,0.4933108389377594,0.6953548192977905,1.0847632884979248,0.4933108389377594,12,multimodal,105,160
text_tabular,"text,tabular",2,0.5910241007804871,0.5377853512763977,0.6833161115646362,0.98359215259552,0.5377853512763977,12,multimodal,105,160
full_multimodal,"image,text,tabular",3,0.5789211988449097,0.5235748291015625,0.6456799507141113,1.5916963815689087,0.5235748291015625,12,multimodal,105,160
naive_mean,none,0,0.8988697528839111,,,,,24,multimodal,103,159
tabular_only,tabular,1,0.7544530034065247,0.8040595650672913,0.7115413546562195,1.0404053926467896,0.8040595650672913,24,multimodal,103,159
text_only,text,1,0.793075680732727,0.9214292168617249,0.6460516452789307,1.0955572128295898,0.9214292168617249,24,multimodal,103,159
image_only,image,1,0.7768504023551941,0.8510039448738098,0.7354411482810974,1.2381800413131714,0.8510039448738098,24,multimodal,103,159
text_tabular,"text,tabular",2,0.7954145669937134,0.8703014254570007,0.6920592784881592,1.6742534637451172,0.8703014254570007,24,multimodal,103,159
full_multimodal,"image,text,tabular",3,0.7865430116653442,0.8693832159042358,0.6411705017089844,0.9058046936988831,0.8693832159042358,24,multimodal,103,159
naive_mean,none,0,0.37333112955093384,,,,,3,full,699,668
tabular_only,tabular,1,0.34643077850341797,0.24083323776721954,0.6652297377586365,1.7364706993103027,0.24083323776721954,3,full,699,668
text_only,text,1,0.34262508153915405,0.23898078501224518,0.8027369976043701,1.1304452419281006,0.23898078501224518,3,full,699,668
text_tabular,"text,tabular",2,0.3567422330379486,0.24961981177330017,0.6511720418930054,1.7629131078720093,0.24961981177330017,3,full,699,668
naive_mean,none,0,0.4686015844345093,,,,,6,full,698,667
tabular_only,tabular,1,0.4391077756881714,0.3331332802772522,0.6885038018226624,1.0587319135665894,0.3331332802772522,6,full,698,667
text_only,text,1,0.41891393065452576,0.31263700127601624,0.6717215180397034,0.8833103179931641,0.31263700127601624,6,full,698,667
text_tabular,"text,tabular",2,0.42226076126098633,0.3153248429298401,0.6943220496177673,1.3914151191711426,0.3153248429298401,6,full,698,667
naive_mean,none,0,0.6352471709251404,,,,,12,full,687,659
tabular_only,tabular,1,0.5763481259346008,0.5906713604927063,0.6382907032966614,1.8285754919052124,0.5906713604927063,12,full,687,659
text_only,text,1,0.5577048063278198,0.5673511028289795,0.6940871477127075,0.9638645052909851,0.5673511028289795,12,full,687,659
text_tabular,"text,tabular",2,0.593923807144165,0.611322820186615,0.7584276795387268,1.0121290683746338,0.611322820186615,12,full,687,659
naive_mean,none,0,0.9095647931098938,,,,,24,full,676,652
tabular_only,tabular,1,0.7586123943328857,2.10129451751709,0.7523359060287476,1.0987886190414429,2.10129451751709,24,full,676,652
text_only,text,1,0.8095129132270813,2.1305038928985596,0.637764573097229,1.6210225820541382,2.1305038928985596,24,full,676,652
text_tabular,"text,tabular",2,0.7964374423027039,2.143543004989624,0.6762321591377258,1.8300055265426636,2.143543004989624,24,full,676,652
