cik,ticker,ipo_date,permno,crsp_ticker,siccd,crsp_start,crsp_end,matched
1511337,CHSP,2010-01-21,,,,,,False
1295401,OABC,2010-01-21,,,,,,False
713676,OBAF,2010-01-22,,,,,,False
1417802,IDE,2010-01-26,93210.0,IDE,6722.0,2024-12-31,2025-12-31,True
1446847,IRWD,2010-02-02,93264.0,IRWD,2834.0,2024-12-31,2025-12-31,True
1418076,SLRC,2010-02-08,93267.0,SLRC,6799.0,2024-12-31,2025-12-31,True
1476150,TRNO,2010-02-09,93261.0,TRNO,6798.0,2024-12-31,2025-12-31,True
1474735,GNRC,2010-02-10,93246.0,GNRC,3621.0,2024-12-31,2025-12-31,True
104889,GRM,2010-02-10,,,,,,False
1117297,QNST,2010-02-10,93266.0,QNST,7389.0,2024-12-31,2025-12-31,True
1478102,DMO,2010-02-23,93262.0,DMO,6726.0,2024-12-31,2025-12-31,True
1477294,ST,2010-03-10,93296.0,ST,5531.0,2024-12-31,2025-12-31,True
860413,FIBK,2010-03-23,93304.0,FIBK,6712.0,2024-12-31,2025-12-31,True
1288469,MXL,2010-03-23,93289.0,MXL,3674.0,2024-12-31,2025-12-31,True
1406666,CALX,2010-03-24,93272.0,CALX,4899.0,2024-12-31,2025-12-31,True
1410098,CRMD,2010-03-24,93371.0,CRMD,2834.0,2024-12-31,2025-12-31,True
1483994,HTHT,2010-03-25,93306.0,HTHT,7011.0,2024-12-31,2025-12-31,True
1483934,STNG,2010-03-30,93299.0,STNG,4613.0,2024-12-31,2025-12-31,True
1402436,SSNC,2010-03-30,93312.0,SSNC,7372.0,2024-12-31,2025-12-31,True
1475922,PRI,2010-03-31,93330.0,PRI,6311.0,2024-12-31,2025-12-31,True
1573516,MUSA,2010-04-08,14076.0,MUSA,5531.0,2024-12-31,2025-12-31,True
1476765,GBDC,2010-04-14,93352.0,GBDC,6726.0,2024-12-31,2025-12-31,True
1476045,CLDT,2010-04-15,93314.0,CLDT,7011.0,2024-12-31,2025-12-31,True
856982,DHRM,2010-04-21,,,,,,False
1200375,CDXS,2010-04-22,93345.0,CDXS,2819.0,2024-12-31,2025-12-31,True
932021,GGS,2010-04-22,,,,,,False
1092699,SPSC,2010-04-22,93356.0,SPSC,7374.0,2024-12-31,2025-12-31,True
1478888,NBB,2010-04-27,93325.0,NBB,6722.0,2024-12-31,2025-12-31,True
1387467,AOSL,2010-04-29,93340.0,AOSL,3674.0,2024-12-31,2025-12-31,True
1287213,PLOW,2010-05-05,93372.0,PLOW,3531.0,2024-12-31,2025-12-31,True
4962,EXPR,2010-05-12,,,,,,False
1481513,JKS,2010-05-13,93380.0,JKS,3674.0,2024-12-31,2025-12-31,True
1486298,BSL,2010-05-25,93370.0,BSL,6722.0,2024-12-31,2025-12-31,True
1374310,CBOE,2010-06-14,93429.0,CBOE,6211.0,2024-12-31,2025-12-31,True
1482512,HPP,2010-06-23,93419.0,HPP,6798.0,2024-12-31,2025-12-31,True
1517518,CEM,2010-06-24,,,,,,False
1551182,EXD,2010-06-24,,,,,,False
1408710,FN,2010-06-24,93427.0,FN,3826.0,2024-12-31,2025-12-31,True
1318605,TSLA,2010-06-28,93436.0,TSLA,3711.0,2024-12-31,2025-12-31,True
1487798,ECT,2010-07-01,,,,,,False
1086600,OXF,2010-07-13,,,,,,False
1488139,AMRC,2010-07-21,10158.0,AMRC,1731.0,2024-12-31,2025-12-31,True
1386278,GDOT,2010-07-21,11664.0,GDOT,6141.0,2024-12-31,2025-12-31,True
1494558,AMBO,2010-08-04,17913.0,AMBO,8299.0,2024-12-31,2025-12-31,True
1734722,PATH,2010-08-05,20972.0,PATH,7372.0,2024-12-31,2025-12-31,True
1413447,NXPI,2010-08-05,12084.0,NXPI,3674.0,2024-12-31,2025-12-31,True
1495153,MMYT,2010-08-11,12082.0,MMYT,4724.0,2024-12-31,2025-12-31,True
1488917,ELMD,2010-08-13,12078.0,ELMD,3841.0,2024-12-31,2025-12-31,True
1175535,WSR,2010-08-25,12070.0,WSR,6798.0,2024-12-31,2025-12-31,True
1493683,BBN,2010-08-26,12039.0,BBN,6733.0,2024-12-31,2025-12-31,True
1140859,COR,2010-09-22,81540.0,COR,5122.0,2024-12-31,2025-12-31,True
1086600,RNO,2010-09-29,,,,,,False
1477641,DQ,2010-10-06,12325.0,DQ,6799.0,2024-12-31,2025-12-31,True
1411342,EFC,2010-10-07,12329.0,EFC,6162.0,2024-12-31,2025-12-31,True
932021,GEDU,2010-10-07,,,,,,False
2044009,HKACU,2010-10-11,,,,,,False
1965473,CCG,2010-10-13,24259.0,CCG,6799.0,2024-12-31,2025-12-31,True
1134115,TOWR,2010-10-14,,,,,,False
1499620,XRS,2010-10-19,,,,,,False
1495320,VRA,2010-10-20,12363.0,VRA,3171.0,2024-12-31,2025-12-31,True
1495825,GBAB,2010-10-26,12331.0,GBAB,6733.0,2024-12-31,2025-12-31,True
1299130,PACB,2010-10-26,12360.0,PACB,3826.0,2024-12-31,2025-12-31,True
1497186,HYI,2010-10-26,12341.0,HYI,6722.0,2024-12-31,2025-12-31,True
1372612,BOX,2010-10-27,15145.0,BOX,7372.0,2024-12-31,2025-12-31,True
1487428,HRZN,2010-10-28,12355.0,HRZN,6799.0,2024-12-31,2025-12-31,True
1295401,SPBC,2010-10-29,21333.0,SPBC,6726.0,2024-12-31,2025-12-31,True
1503584,CMRE,2010-11-03,12391.0,CMRE,4731.0,2024-12-31,2025-12-31,True
1499543,NOAH,2010-11-09,12377.0,NOAH,6719.0,2024-12-31,2025-12-31,True
1443646,BAH,2010-11-16,12366.0,BAH,8742.0,2024-12-31,2025-12-31,True
1997350,ARX,2010-11-18,27042.0,ARX,0.0,2025-07-24,2025-12-31,True
1467858,GM,2010-11-18,12369.0,GM,3711.0,2024-12-31,2025-12-31,True
1397911,LPLA,2010-11-18,12400.0,LPLA,6211.0,2024-12-31,2025-12-31,True
1498612,PSF,2010-11-23,12368.0,PSF,6722.0,2024-12-31,2025-12-31,True
1747172,KMF,2010-11-23,,,,,,False
1389170,TRGP,2010-12-06,12476.0,TRGP,4922.0,2024-12-31,2025-12-31,True
1746109,FRC,2010-12-08,,,,,,False
1333822,LEDS,2010-12-08,12488.0,LEDS,3674.0,2024-12-31,2025-12-31,True
1489993,MOBI,2010-12-09,,,,,,False
1497770,WD,2010-12-14,12477.0,WD,6531.0,2024-12-31,2025-12-31,True
1276187,QRE,2010-12-16,,,,,,False
1501103,EDF,2010-12-22,12472.0,EDF,6722.0,2024-12-31,2025-12-31,True
1500217,AAT,2011-01-12,12513.0,AAT,6798.0,2024-12-31,2025-12-31,True
1501078,OFED,2011-01-14,,,,,,False
1495222,OXLC,2011-01-19,12505.0,OXLC,6726.0,2024-12-31,2025-12-31,True
1295401,WBKC,2011-01-19,,,,,,False
1295401,ANCB,2011-01-26,,,,,,False
1503290,ACP,2011-01-26,12514.0,ACP,6722.0,2024-12-31,2025-12-31,True
1504234,BGX,2011-01-26,12516.0,BGX,6726.0,2024-12-31,2025-12-31,True
1438893,GNT,2011-01-26,12523.0,GNT,6726.0,2024-12-31,2025-12-31,True
1504008,BKU,2011-01-27,12515.0,BKU,6022.0,2024-12-31,2025-12-31,True
937966,INXN,2011-01-27,,,,,,False
1499505,AGRO,2011-01-28,12540.0,AGRO,6719.0,2024-12-31,2025-12-31,True
1396814,PCRX,2011-02-02,12583.0,PCRX,2834.0,2024-12-31,2025-12-31,True
1392380,GEVO,2011-02-08,12579.0,GEVO,2869.0,2024-12-31,2025-12-31,True
49938,IFT,2011-02-08,,,,,,False
1497645,INN,2011-02-08,12566.0,INN,7011.0,2024-12-31,2025-12-31,True
1506307,KMI,2011-02-10,12558.0,KMI,4924.0,2024-12-31,2025-12-31,True
2012706,SUNS,2011-02-25,25242.0,SUNS,6798.0,2024-12-31,2025-12-31,True
860730,HCA,2011-03-09,12622.0,HCA,8062.0,2024-12-31,2025-12-31,True
1325702,MX,2011-03-10,12629.0,MX,3674.0,2024-12-31,2025-12-31,True
1819175,PACQU,2011-03-24,,,,,,False
1506289,BCX,2011-03-28,12593.0,BCX,6733.0,2024-12-31,2025-12-31,True
1858681,APO,2011-03-29,12591.0,APO,6282.0,2024-12-31,2025-12-31,True
718413,FRTR,2011-03-31,,,,,,False
1207179,GMLP,2011-04-06,,,,,,False
1425292,UAN,2011-04-07,12644.0,UAN,2873.0,2024-12-31,2025-12-31,True
1504619,PFLT,2011-04-08,12693.0,PFLT,6211.0,2024-12-31,2025-12-31,True
1508478,ARCO,2011-04-13,12684.0,ARCO,8322.0,2024-12-31,2025-12-31,True
