sample,horizon_months,model,mae_mean,mae_se,r2_mean,r2_se,n_obs
multimodal,3,naive_mean,0.3072813957929611,0.021680361620609063,-0.02749059200286865,0.014393556889622261,332
multimodal,3,tabular_only,0.3240790545940399,0.021770254954553824,-0.07081549167633057,0.03492783764463856,332
multimodal,3,text_only,0.32854785919189455,0.0233082046770382,-0.154860782623291,0.04033339382530529,332
multimodal,3,image_only,0.33658435344696047,0.019709453817127638,-0.2095818042755127,0.06778415300299177,332
multimodal,3,text_tabular,0.3296556234359741,0.026347930866233504,-0.1511587381362915,0.04953001270922643,332
multimodal,3,full_multimodal,0.3418980598449707,0.021698054766437207,-0.22826476097106935,0.0745887755148552,332
multimodal,6,naive_mean,0.3717308580875397,0.01951848478348699,-0.013442754745483398,0.0077903543968713814,331
multimodal,6,tabular_only,0.38575282096862795,0.01497933272681458,-0.13444039821624756,0.042502224890320434,331
multimodal,6,text_only,0.3808709144592285,0.01220777198125543,-0.1815609574317932,0.09330958093882219,331
multimodal,6,image_only,0.3742815315723419,0.020531349782211987,-0.13104313611984253,0.08228779134039815,331
multimodal,6,text_tabular,0.4079120993614197,0.012115947268824026,-0.34183578491210936,0.14471166979566338,331
multimodal,6,full_multimodal,0.4074757814407349,0.017689424848619607,-0.38008188009262084,0.17349665270770406,331
multimodal,12,naive_mean,0.5461215317249298,0.027857497288954373,-0.03552896976470947,0.018892334266714286,328
multimodal,12,tabular_only,0.5511046588420868,0.025515305150696995,-0.0838126540184021,0.03583589952466182,328
multimodal,12,text_only,0.5700582206249237,0.043379467485455285,-0.1536024570465088,0.07031509753169929,328
multimodal,12,image_only,0.5496138989925384,0.01425392834388747,-0.1696242570877075,0.07463383563064471,328
multimodal,12,text_tabular,0.5659804403781891,0.04065381650802757,-0.1957002639770508,0.06548038924768493,328
multimodal,12,full_multimodal,0.5594773411750793,0.015462197436093662,-0.20992615222930908,0.06944005788848534,328
multimodal,24,naive_mean,0.6991323590278625,0.026439889548409253,-0.012087321281433106,0.007116697453102757,325
multimodal,24,tabular_only,0.7037508130073548,0.02603852431991017,-0.019856393337249756,0.01945541065391429,325
multimodal,24,text_only,0.7354115128517151,0.061618552690450704,-0.20924323797225952,0.12202339613493816,325
multimodal,24,image_only,0.7002357721328736,0.02231554285191122,-0.11044247150421142,0.056835914947693335,325
multimodal,24,text_tabular,0.7267577648162842,0.05008675840898711,-0.19016382694244385,0.12257964677240973,325
multimodal,24,full_multimodal,0.6844948768615723,0.04084114237996628,-0.07588726282119751,0.0724029319695074,325
full,3,naive_mean,0.2957871437072754,0.008148912143204618,-0.00631868839263916,0.0020124695808589736,1614
full,3,tabular_only,0.29948630928993225,0.007557274736278699,-0.009013473987579346,0.005122528147393042,1614
full,3,text_only,0.2986178398132324,0.007815453644513541,-0.015565621852874755,0.009225855687476013,1614
full,3,text_tabular,0.2998221397399902,0.007487760027015393,-0.018949198722839355,0.006221013264415639,1614
full,6,naive_mean,0.3636262059211731,0.007132244073582271,-0.0018200874328613281,0.0004953088398540174,1612
full,6,tabular_only,0.36609389781951907,0.006892252767144993,-0.01903620958328247,0.007115832489915263,1612
full,6,text_only,0.36506837606430054,0.006384058485932615,-0.025606703758239747,0.007876238446192615,1612
full,6,text_tabular,0.3684013783931732,0.005092546805256927,-0.045945167541503906,0.00984413043069535,1612
full,12,naive_mean,0.49656354188919066,0.009303220784380931,-0.011480975151062011,0.003206279519975748,1589
full,12,tabular_only,0.4984849512577057,0.009226153877724606,-0.02156989574432373,0.007212360543805299,1589
full,12,text_only,0.4946530878543854,0.014676990529587786,-0.03184201717376709,0.02070829702842041,1589
full,12,text_tabular,0.4983203947544098,0.016341978919115922,-0.05118000507354736,0.01849250110386348,1589
full,24,naive_mean,0.7368012428283691,0.025429066780639442,-0.0042493343353271484,0.0021176162521756308,1565
full,24,tabular_only,0.724846875667572,0.026200315099676172,-0.004558849334716797,0.004255197994702467,1565
full,24,text_only,0.7294479370117187,0.030179531984318456,-0.035621047019958496,0.010774783207378026,1565
full,24,text_tabular,0.7352455019950866,0.029713874613439824,-0.04120701551437378,0.013887529238995429,1565
