sample,model,horizon_months,q1_mean,q2_mean,q3_mean,q4_mean,q5_mean,ls_spread,ls_xsec_sharpe,n_obs,constant_pred_flag,cal_n_cohorts,cal_avg_cohort_size,cal_ls_mean,cal_ls_std,cal_ls_sharpe_ann
full,naive_mean,3,,,,,,,,1614,True,0,,,,
full,naive_mean,6,,,,,,,,1612,True,0,,,,
full,naive_mean,12,,,,,,,,1589,True,0,,,,
full,naive_mean,24,,,,,,,,1565,True,0,,,,
full,tabular_only,3,-0.06581755129504378,-0.06714598077959194,-0.05468363459455211,0.022710646287773827,-0.053994743587036875,0.011822807708006908,0.013090700653699277,1614,False,56,28.375,-0.014441809477412299,0.2124234416257961,-0.13597189996434486
full,tabular_only,6,-0.0883968700630927,-0.11851259272238991,-0.11593199976986009,-0.1975046382932808,-0.09141401024268589,-0.003017140179593189,-0.002230785018691976,1612,False,56,28.339285714285715,-0.03011322943332584,0.3410893720120807,-0.17657090430984926
full,tabular_only,12,-0.13253081296922042,-0.30964495950219595,-0.1661959379229824,-0.16574962026550896,-0.1707472038065792,-0.03821639083735878,-0.024052094756793117,1589,False,56,27.928571428571427,0.07185578651994985,0.4689054052791085,0.3064830804293196
full,tabular_only,24,-0.19929615664519013,-0.3356104978346457,-0.21519988208649138,-0.20710285835581038,-0.14931251037904558,0.049983646266144544,0.015360876935280075,1565,False,56,27.517857142857142,0.12947687639669891,0.9123084063208384,0.2838445321771261
full,text_only,3,-0.14620768727594843,-0.015209940718429233,-0.018149551999305444,-0.08669434471546755,0.047443369355545766,0.1936510566314942,0.19712522118086842,1614,False,56,28.375,0.0941102463292118,0.26965556574002436,0.698003366412572
full,text_only,6,-0.2461842272161065,-0.1433620864672945,-0.09065908936115549,-0.12742145934181218,-0.003914962031209233,0.24226926518489728,0.22556253245768723,1612,False,56,28.339285714285715,0.13963197246689563,0.23938405068470683,1.166593781561539
full,text_only,12,-0.35660764581594123,-0.09040184651571766,-0.3062013878041955,-0.20633480197851803,0.01423687893756718,0.37084452475350843,0.24169764195297866,1589,False,56,27.928571428571427,0.15344607042720088,0.6330444598094577,0.48478765764220466
full,text_only,24,-0.4474990985627039,-0.16947497307031323,-0.3296573733944747,-0.23997142725287915,0.08008096697918785,0.5275800655418917,0.2192049040188079,1565,False,56,27.517857142857142,0.23992203012314234,0.9392647257089304,0.5108720120242054
full,text_tabular,3,-0.15432225377118683,-0.06435499401044406,-0.07092702378631317,0.05498545029598516,0.01563726817288338,0.1699595219440702,0.17845660652301315,1614,False,56,28.375,0.10192274448720037,0.2876919879052617,0.7085546262815217
full,text_tabular,6,-0.22490270744617047,-0.07642272189302914,-0.10752553009227069,-0.17604115026893083,-0.026645215544062118,0.19825749190210834,0.18439616470450648,1612,False,56,28.339285714285715,0.0918966931262348,0.26118663896413036,0.7036860192443097
